ID,Name,Straße,Hausnummer,PLZ,Ort,Breitengrad,Längengrad,Telefon,Email,Website,Rabatt,discount,Kategorie
,Familienbildung „Zoff + Harmonie“,Vordere Sterngasse,1,90402,Nürnberg,49.4486954,11.0782703,0911/24449493,zoff-harmonie@stadtkirche-nuernberg.de,https://zoff-harmonie.de/,Ermäßigungen,Discounts,9
,"Ferienprogramm:
Amt für Kinder, Jugendliche und Familien - Jugendamt",Dietzstraße,4,90443,Nürnberg,49.4450545,11.0697996,0911 231-8560,,https://www.nuernberg.de/internet/ferien/#1,Ermäßigungen bei Angeboten ab 10€ - bis zu 60 % auf ausgfewählte Angebote für Kinder und Jugendliche 6 - 16 Jahre,Discounts on offers from €10.00 – up to 60% on selected offers for children and young people aged 6 to 16,12
,Filmhauskino,Königstr.,93,90402,Nürnberg,49.4487297,11.082069,0911/2317340,,https://www.kunstkulturquartier.de/footernav/impressum,"Eintritt 4,50 €",Admission €4.50,14
,Freibad Naturgarten,Schlegelstr.,20,90491,Nürnberg,49.474331250000006,11.136097354584619,0911/592545,tourismus@nuernberg.de,https://tourismus.nuernberg.de/buchen/nuernberg-card/location/freibad-naturgarten/,"Tarifstufe I: Erwachsener: 3,20 € -  Kinder/Jugendliche: 1,70 €  - 20-er-Karte  Kinder/Jugendliche: 25,20 € + Erwachsene: 57,00 € - Abendtarif, Freibädern ab 17 Uhr Kinder/Jugendliche: 1,30 € - Erwachsene: 2,30 €","Rate I: Adults: €3.20 – Children/young people: €1.70 – 20 prepaid tickets Children/young people: €25.20 + adults: €57.00 – evening rate, outdoor pools from 5 p.m. Children/young people: €1.30 + adults: €2.30",17
,Freibad Stadion,Hans-Kalb-Str.,42,90471,Nürnberg,49.42371595,11.123915832670864,0911/869287,,https://nuernbergbad.nuernberg.de/stadionbad/?L=0,"Tarifstufe I: Erwachsener: 3,20 € -  Kinder/Jugendliche: 1,70 €  - 20-er-Karte  Kinder/Jugendliche: 25,20 € + Erwachsene: 57,00 € - Abendtarif, Freibädern ab 17 Uhr Kinder/Jugendliche: 1,30 € - Erwachsene: 2,30 €","Rate I: Adults: €3.20 – Children/young people: €1.70 – 20 prepaid tickets Children/young people: €25.20 + adults: €57.00 – evening rate, outdoor pools from 5 p.m. Children/young people: €1.30 + adults: €2.30",17
,Freibad West,Wiesentalstr.,41,90419,Nürnberg,49.4573496,11.05297,0911/330262,,https://nuernbergbad.nuernberg.de/westbad/,"Tarifstufe I: Erwachsener: 3,20 € -  Kinder/Jugendliche: 1,70 €  - 20-er-Karte  Kinder/Jugendliche: 25,20 € + Erwachsene: 57,00 € - Abendtarif, Freibädern ab 17 Uhr Kinder/Jugendliche: 1,30 € - Erwachsene: 2,30 €","Rate I: Adults: €3.20 – Children/young people: €1.70 – 20 prepaid tickets Children/young people: €25.20 + adults: €57.00 – evening rate, outdoor pools from 5 p.m. Children/young people: €1.30 + adults: €2.30",17
,Gemeinschaftshaus Langwasser,Glogauer Str.,50,90473,Nürnberg,49.4019442,11.136163,0911/99803-0,,https://www.nuernberg.de/internet/kuf_kultur/gemeinschaftshaus_langwasser.html,"50 % Ermäßigung auf Tageskassenpreise
Zusätzlich: bei eigenen städtischen Angeboten für Einzelveranstaltungen maximaler Preis: 5,00€
Bei Seminaren u. Kursen: 50 % Ermäßigung","50% discount on prices at the pay desk
In addition: maximum price for own municipal offers for individual events: €5.00
For seminars and courses: 50% discount",12
,Germanisches Nationalmuseum,Kartäusergasse,1,90402,Nürnberg,49.4480826,11.076148395203578,0911/13310,,https://www.gnm.de/,2 € - Familienkarte 5 €- Kinder bis einschließlich 5 Jahre  freier Eintritt,€2.00 – family ticket €5.00 – Children aged up to and including 5 free admission,12
,Geschichte für Alle e.V.,Wiesentalstr.,32,90419,Nürnberg,49.457426,11.0546941,0911/307360,info@geschichte-fuer-alle.de,https://www.geschichte-fuer-alle.de/stadtfuehrungen-nuernberg-fuerth-erlangen-bamberg#!/cal-d/2022-11-17/cw/d6c9996ab986d324ad3881a234989541,"Stadtrundgänge: 7,00€",City tours: €7.00,12
,"Gesundheitsamt, Rübe - Turnen",Burgstr.,4,90403,Nürnberg,49.4562074,11.0774497,0911 2312585 / 2312159,,https://www.nuernberg.de/internet/gesundheitsamt/ruebe.html,Das Rücken- und Bewegungsturnen (RüBe) Kostenfrei - Schwimmkurse 50%,Back and mobility fitness (RüBe) free of charge – Swimming lessons 50%,17
,Gibitzenhof Apotheke,Gibitzenhofstr.,103,90443,Nürnberg,49.4348861,11.0683512,0911/413330,info@gibitzenhofapotheke.de,www.gibitzenhofapotheke.de,"20 % Ermäßigung auf nicht verschreibungspflichtige Medikamente, die die Kasse  nicht bezahlt („grüne Rezepte“)",20% discount on non-prescription medicine that is not covered by health insurance (“green prescriptions”).,15
,Gostner Hoftheater,Austr.,70,90429,Nürnberg,49.4498091,11.0501149,0911/261510,info@gostner.de,https://www.gostner.de/,Kostenfrei an bestimmtenTagen - Ermäßigung der Eintrittspreise,Free on certain days – Reduced admission prices,14
,Hallenbad Katzwang,Katzwanger Hauptstr.,21,90453,Nürnberg,49.3611734,11.050612,09122/76611,nuernbergbad@stadt.nuernberg.de,https://nuernbergbad.nuernberg.de/katzwangbad/,"Tarifstufe I: Erwachsener: 3,20 € -  Kinder/Jugendliche: 1,70 €  - 20-er-Karte  Kinder/Jugendliche: 25,20 € + Erwachsene: 57,00 € - Abendtarif, Freibädern ab 17 Uhr Kinder/Jugendliche: 1,30 € - Erwachsene: 2,30 €","Rate I: Adults: €3.20 – Children/young people: €1.70 – 20 prepaid tickets Children/young people: €25.20 + adults: €57.00 – evening rate, outdoor pools from 5 p.m. Children/young people: €1.30 + adults: €2.30",17
,Hallenbad Langwasser,Breslauer Str.,251,90471,Nürnberg,49.4116011,11.1443641,0911/803979,nuernbergbad@stadt.nuernberg.de,https://nuernbergbad.nuernberg.de/langwasserbad/,"Tarifstufe I: Erwachsener: 3,20 € -  Kinder/Jugendliche: 1,70 €  - 20-er-Karte  Kinder/Jugendliche: 25,20 € + Erwachsene: 57,00 € - Abendtarif, Freibädern ab 17 Uhr Kinder/Jugendliche: 1,30 € - Erwachsene: 2,30 €","Rate I: Adults: €3.20 – Children/young people: €1.70 – 20 prepaid tickets Children/young people: €25.20 + adults: €57.00 – evening rate, outdoor pools from 5 p.m. Children/young people: €1.30 + adults: €2.30",17
,Hallenbad Nordost,Elbinger Str.,85,90491,Nürnberg,49.470402899999996,11.1037392474305,0911/515025,nuernbergbad@stadt.nuernberg.de,https://nuernbergbad.nuernberg.de/nordostbad/,"2 Stunden:Erwachsene: 3,20 € -  6 – 17 J.: 1,70 € 4 Stunden: Erwachsene: 4,60 € 6 – 17 J: 2,20 €
Tageskarte: Erwachsene: 6,40 € - 6 – 17 J: 2,90 € 20-er-Karte Erwachsene: 57,00 € 6 – 17 J: 25,20 €","2 hours: Adults: €3.20 – aged 6 to 17: €1.70 4 hours: Adults: €4.60 – aged 6 to 17: €2.20
Day ticket: Adults: €6.40 – aged 6 to 17: €2.90 – 20 prepaid tickets Adults: €57.00 – aged 6 to 17: €25.20",17
,Hallenbad süd.stadt.bad,Allersberger Str.,120,90461,Nürnberg,49.437170449999996,11.090174500514866,0911/23114164,nuernbergbad@stadt.nuernberg.de,https://nuernbergbad.nuernberg.de/suedstadtbad/,"2 Stunden:Erwachsene: 3,20 € -  6 – 17 J.: 1,70 € 4 Stunden: Erwachsene: 4,60 € 6 – 17 J: 2,20 €
Tageskarte: Erwachsene: 6,40 € - 6 – 17 J: 2,90 € 20-er-Karte Erwachsene: 57,00 € 6 – 17 J: 25,20 €","2 hours: Adults: €3.20 – aged 6 to 17: €1.70 4 hours: Adults: €4.60 – aged 6 to 17: €2.20
Day ticket: Adults: €6.40 – aged 6 to 17: €2.90 – 20 prepaid tickets Adults: €57.00 – aged 6 to 17: €25.20",17
,Hirsch Apotheke,Bucher Str.,37a,90419,Nürnberg,49.4611372,11.0720593,0911/330079,info@hirsch-apotheke-lage.de,https://www.hirsch-apotheke-lage.de/,"In der Regel 15%  Ermäßigung auf nicht verschreibungspflichtige Medikamente, die die Kasse  nicht bezahlt („grüne Rezepte“)",Generally 15% discount on non-prescription medicine that is not covered by health insurance (“green prescriptions”).,15
,Hochschule für Musik Nürnberg,Veilhofstraße,34,90489,Nürnberg,49.4586625,11.108521980393085,0911/21522102,info@hfm-nuernberg.de,https://www.hfm-nuernberg.de/hochschule/,Allgemeine Ermäßigung,General discount,13
,Jugendamt Ferienprogramm,Dietzstr.,4,90443,Nürnberg,49.4450545,11.0697996,0911/2318560,,https://www.nuernberg.de/internet/ferien/ferien_zeitraum.html,"Ermäßigungen 50% Außerdem können zusätzlich die gelben Bildung- und Teilhabe-Gutscheine einlöst werden.
 Zusätzlich weitere Vergünstigungen bei ausgewählten Programmpunkten. Dann wird es noch günstiger.","50% discounts The yellow education and participation vouchers can also be redeemed.
 Additional discounts on selected programme items. Then it will be even cheaper.",12
,Kaiserburgmuseum,Burg,17,90403,Nürnberg,49.4579862,11.075670820136171,0911/2009540,info@gnm.de.,https://www.gnm.de/ausstellungen/kaiserburg-museum-eine-aussenstelle-des-gnm/kaiserburg-museum/,Ermäßigung,Discount,12
,Kassen- und Steueramt Stadt Nürnberg - Hundesteuer,Theresienstr.,7,90403,Nürnberg,49.4558242,11.0784955,0911/2312453,,https://www.nuernberg.de/internet/referat2/hundesteuer.html,Steuerermäßigung um 50% für den ersten Hund auf Antrag,Tax reduction of 50% for the first dog on application,9
,KinderKunstRaum / Kulturwerkstatt Auf AEG,Fürther Str.,244 d,90429,Nürnberg,,,0911/2315404,,https://www.nuernberg.de/internet/kuf_kultur/kinderkultur.html,"50 % Ermäßigung auf Tageskassenpreise
Zusätzlich: bei eigenen städtischen Angeboten für Einzelveranstaltungen maximaler Preis: 5,00€
Bei Seminaren u. Kursen: 50 % Ermäßigung","50% discount on prices at the pay desk
In addition: maximum price for own municipal offers for individual events: €5.00
For seminars and courses: 50% discount",12
,Kugel Apotheke,Rathausplatz,5,90403,Nürnberg,49.455588,11.0770106,,,,"20 % Ermäßigung auf nicht verschreibungspflichtige Medikamente, die die Kasse  nicht bezahlt („grüne Rezepte“)",20% discount on non-prescription medicine that is not covered by health insurance (“green prescriptions”).,15
,Kulturbüro Muggenhof,Muggenhofer Str.,141,90429,Nürnberg,49.4623617,11.0253071,0911/6509493,,https://www.nuernberg.de/internet/kuf_kultur/kulturbuero_muggenhof.html,"50 % Ermäßigung auf Tageskassenpreise
Zusätzlich: bei eigenen städtischen Angeboten für Einzelveranstaltungen maximaler Preis: 5,00€
Bei Seminaren u. Kursen: 50 % Ermäßigung","50% discount on prices at the pay desk
In addition: maximum price for own municipal offers for individual events: €5.00
For seminars and courses: 50% discount",12
,Kulturkarten für Senioren und behinderte Menschen BürgerInformationsZentrum,Hauptmarkt,18,90403,Nürnberg,49.454558399999996,11.077267951419888,0911/2310,,https://www.nuernberg.de/internet/buergerinfo/,Kulturkarten für Senioren (9€ jährlich) und behinderte Menschen (6 € jährlich bei 50% Schwerbehinderung),Cultural tickets for senior citizens (€9.00 per year) and disabled people (€6.00 per year for those with a 50% disability),12
,Kulturladen Gartenstadt,Frauenlobstr.,7,90469,Nürnberg,49.4161745,11.0736923,0911/482318,,https://www.nuernberg.de/internet/kuf_kultur/kulturladen_gartenstadt.html,"50 % Ermäßigung auf Tageskassenpreise
Zusätzlich: bei eigenen städtischen Angeboten für Einzelveranstaltungen maximaler Preis: 5,00€
Bei Seminaren u. Kursen: 50 % Ermäßigung","50% discount on prices at the pay desk
In addition: maximum price for own municipal offers for individual events: €5.00
For seminars and courses: 50% discount",12
,Kulturladen Röthenbach,Röthenbacher Hauptstr.,74,90449,Nürnberg,49.4156336,11.0317176,0911/645191,,https://www.nuernberg.de/internet/kuf_kultur/kulturladen_roethenbach.html,"50 % Ermäßigung auf Tageskassenpreise
Zusätzlich: bei eigenen städtischen Angeboten für Einzelveranstaltungen maximaler Preis: 5,00€
Bei Seminaren u. Kursen: 50 % Ermäßigung","50% discount on prices at the pay desk
In addition: maximum price for own municipal offers for individual events: €5.00
For seminars and courses: 50% discount",12
,Kulturladen Schloss Almoshof,Almoshofer Hauptstr.,49-53,90427,Nürnberg,49.488833,11.065009652802047,0911/93449470,,https://www.nuernberg.de/internet/kuf_kultur/kulturladen_almoshof.html,"50 % Ermäßigung auf Tageskassenpreise
Zusätzlich: bei eigenen städtischen Angeboten für Einzelveranstaltungen maximaler Preis: 5,00€
Bei Seminaren u. Kursen: 50 % Ermäßigung","50% discount on prices at the pay desk
In addition: maximum price for own municipal offers for individual events: €5.00
For seminars and courses: 50% discount",12
,Kulturladen Zeltnerschloss,Gleißhammerstr.,6,90480,Nürnberg,49.4474429,11.1094386,0911/472945,,https://www.nuernberg.de/internet/kuf_kultur/kulturladen_zeltnerschloss.html,"50 % Ermäßigung auf Tageskassenpreise
Zusätzlich: bei eigenen städtischen Angeboten für Einzelveranstaltungen maximaler Preis: 5,00€
Bei Seminaren u. Kursen: 50 % Ermäßigung","50% discount on prices at the pay desk
In addition: maximum price for own municipal offers for individual events: €5.00
For seminars and courses: 50% discount",12
,Kulturladen Ziegelstein,Ziegelsteinstr.,104,90411,Nürnberg,49.4821507,11.1053636,0911/525462,,https://www.nuernberg.de/internet/kuf_kultur/kulturladen_ziegelstein.html,"50 % Ermäßigung auf Tageskassenpreise
Zusätzlich: bei eigenen städtischen Angeboten für Einzelveranstaltungen maximaler Preis: 5,00€
Bei Seminaren u. Kursen: 50 % Ermäßigung","50% discount on prices at the pay desk
In addition: maximum price for own municipal offers for individual events: €5.00
For seminars and courses: 50% discount",12
,"KulturTicketNürnberg, Bürgerstiftung Nürnberg",Nordring,98,90409,Nürnberg,49.4703709,11.0942414,0911/6604557,,https://www.nuernberg.de/internet/kuf_kultur/kultur_ticket.html,Kostenlose Eintrittskarten für Kulturveranstaltungen,Free tickets for cultural events,12
,Kunst- und Kulturpädagogisches Zentrum der Museen in Nürnberg (KPZ),Kartäusergasse,1,90402,Nürnberg,49.4480826,11.076148395203578,0911/1331238,schulen@kpz-nuernberg.de,https://kpz-nuernberg.de/,Erlass der Führungsgebühren für Kinder und Jugendliche bei  Kinder- und Familienführungen bzw. öffentlichen Malwerkstätten für Kinder in Nürnberger Museen,Waiver of tour fees for children and young people for children’s and family tours and public painting workshops for children in Nuremberg museums,12
,Kunsthalle,Lorenzer Str.,32,90402,Nürnberg,49.44952565,11.082540294214947,0911/2312853,,https://www.kunstkulturquartier.de/kunsthalle/,1 € - Jugendliche bis 18 Jahren frei -  Mittwoch 18-20 Uhr frei,€1.00 – young people aged up to 18 free - Wednesdays 6 to 8 p.m. free,12
,Kunsthaus,Königstr.,93,90402,Nürnberg,49.4487297,11.082069,0911/23114678,,https://www.kunstkulturquartier.de/kunsthaus/,1 € - Jugendliche bis 18 Jahren frei -  Mittwoch 18-20 Uhr frei,€1.00 – young people aged up to 18 free - Wednesdays 6 to 8 p.m. free,12
,Kunstvilla,Blumenstr.,17,90402,Nürnberg,49.449994,11.0870524,0911/23114015,,https://www.kunstkulturquartier.de/kunstvilla/,1 € - Jugendliche bis 18 Jahren frei -  Mittwoch 18-20 Uhr frei,€1.00 – young people aged up to 18 free - Wednesdays 6 to 8 p.m. free,12
,"Leihtablets (iPads) Seniornnetzwerk West, Seniorennetzwerk Eberhardshof / Muggenhof / Gostenhof, im Quartiersbüro Weststadt",Fürther Straße,194,90429,Nürnberg,49.4573413,11.0367174,0911/30003119,seniorennetzwerk.west@diakoneo.de,https://www.ambulantepflege-nuernberg.de/standorte/seniorennetzwerk-eberhardshof-muggenhof-gostenhof-und-weststadt,"Für Seniorinnen und Senioren - in Verbindung mit einer Schulung –kostenfrei für Nürnberg-Pass, mit Wohnort in den jeweiligen Stadtteilen",For senior citizens – in conjunction with a training course – free of charge for Nürnberg-Pass holders who live in the respective city districts,16
,"Leihtablets (iPads), Seniorennetzwerk Nord, DIAKONEO KdöR",Schmausengartenstr.,10,90409,Nürnberg,49.46338435,11.087985274907023,0911/30003139,seniorennetzwerk.west@diakoneo.de,https://www.diakoneo.de/presse/digitale-kompetenz-fuer-senioren/,"Für Seniorinnen und Senioren - in Verbindung mit einer Schulung –kostenfrei für Nürnberg-Pass, mit Wohnort in den jeweiligen Stadtteilen",For senior citizens – in conjunction with a training course – free of charge for Nürnberg-Pass holders who live in the respective city districts,16
